#Total payments (2.5yrs)	Name	Specialty	Medicare prescriptions	Drug cost	Brand name?	Speaking payment	% narcotics	peer % narcotics	Most-prescribed medicare drugs
$1095478.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962567792 >DAVID MANNING </A>	Orthopaedic Surgery	<span style=color:black>361 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	42.3	( peers 55.8)	
$279542.0	<A HREF=https://projects.propublica.org/vital-signs/doctor/1336201888 >RUSSELL COHEN </A>	Gastroenterology	<span style=color:black>381 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			HUMIRA;SYNTHROID;VIEKIRA;LUPRON;ANDROGEL
$275590.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1467503441 >ANTHONY REDER </A>	Neurology	<span style=color:black>920 </span>	<span style=color:red>High drug cost</span>	<span style=color:red>Brand-name prescriber</span>	<span style=color:red>Speaking payment</span>			BETASERON;AUBAGIO;H.P. ACTHAR;PLEGRIDY;ALEMTUZUMAB
$251811.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1023080983 >PAUL CHANG </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			
$245125.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1881805380 >KEVIN ZORN </A>	Urology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$199539.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1699838102 >DAVID RUBIN </A>	Gastroenterology	<span style=color:black>462 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			HUMIRA;REMICADE;VIEKIRA;SYNTHROID;LUPRON
$185679.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1851593412 >J. MARTIN LELAND </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$172934.0	<A HREF=https://projects.propublica.org/vital-signs/doctor/1356406185 >ROBERT NACLERIO </A>	Otolaryngology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			QNASL;GRASTEK;RAGWITEK;NASONEX;SINGULAIR
$152633.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1134205081 >ANDRZEJ JAKUBOWIAK </A>	Medical Oncology	<span style=color:black>234 </span>	<span style=color:red>High drug cost</span>	<span style=color:red>Brand-name prescriber</span>	<span style=color:red>Speaking payment</span>			KYPROLIS;VELCADE;NINLARO;POMALYST;REVLIMID
$145054	<A HREF=https://projects.propublica.org/vital-signs/doctor/1487716932 >CHRISTOPHER MASI </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			LYRICA
$143387.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1730241282 >IMRE NOTH </A>	Pulmonary Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			OTHER;ESBRIET;BREO ELLIPTA;BROVANA;AEROSPAN
$142558.0	<A HREF=https://projects.propublica.org/vital-signs/doctor/1386707800 >TODD ZIMMERMAN </A>	Hematology & Oncology	<span style=color:black>794 </span>	<span style=color:red>High drug cost</span>	<span style=color:red>Brand-name prescriber</span>	<span style=color:red>Speaking payment</span>			KYPROLIS;POMALYST;REVLIMID;VELCADE;FARYDAK
$127273.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1689674343 >MARK WINKLER </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			GAMUNEX-C;DOTAREM GADOTERATE MEGLUMINE INJECTION
$119967.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1326211160 >CARA ROSENBAUM </A>	Hematology & Oncology	<span style=color:black>519 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			REVLIMID;POMALYST;DARATUMUMAB;OTHER;EMPLICITI
$114245.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1235294455 >JONATHAN MOSS </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			XIFAXAN;RELISTOR
$113440.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1588763445 >DOUGLAS DIRSCHL </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$112858.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1821064692 >MICHAEL CHARLTON </A>	Gastroenterology	<span style=color:black>502 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			ABT 450 333 072 267;ZORTRESS;OLYSIO;HEPSERA
$110218.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1578716478 >NIR URIEL </A>	Cardiovascular Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			ENTRESTO;REPATHA;ELIQUIS;ZYVOX
$107401.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1164585683 >NANCY REAU </A>	Gastroenterology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			VIEKIRA;SYNTHROID;HUMIRA;LUPRON;ANDROGEL
$99433.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932262458 >EVERETT VOKES </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			PORTRAZZA;OTHER;ABRAXANE;HALAVEN;KEYTRUDA
$97882.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1508917576 >GILLIAN NEWSTEAD </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			GADAVIST;KOGENATE  FS;ISOVUE
$96835.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1558585307 >GARY STEINBERG </A>	Urology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			VALSTAR;OTHER
$96418.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1043340292 >TANGUY LIM-SEIWERT </A>	Hematology & Oncology	<span style=color:black>394 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			OTHER;NEXAVAR;IMLYGIC;KEYTRUDA;ANAMORELIN
$95986.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1902968456 >DAVID PITRAK </A>	Infectious Disease	<span style=color:black>769 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			PREZISTA;ROTARIX;BOOSTRIX;INFANRIX;KINRIX
$94081.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1467609537 >DANIEL CATENACCI </A>	Specialist	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			AVASTIN;CYRAMZA;LEP;OTHER;TARCEVA
$87231.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1558423004 >SILVANA PANNAIN </A>	Endocrinology, Diabetes & Metabolism	<span style=color:black>892 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	0	( peers 2.9)	SAXENDA;BELVIQ;VICTOZA;QSYMIA;TRADJENTA
$81636.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992860720 >FUAD BAROODY </A>	Otolaryngology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			OTHER;GRASTEK;RAGWITEK;SINGULAIR;NASONEX
$78444.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1740245331 >RODERICK TUNG </A>	Clinical Cardiac Electrophysiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			XARELTO;PRADAXA;EFFIENT
$77314.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1366508517 >WILLIAM MIELER </A>	Ophthalmology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			LUCENTIS;ADAPTDX;EYLEA;OZURDEX;JETREA
$76799.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1285738344 >VALLUVAN JEEVANANDAM </A>	Thoracic Surgery (Cardiothoracic Vascular Surgery)	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			
$72947.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1548440027 >SCOTT EGGENER </A>	Urology	<span style=color:black>254 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			ZYTIGA;XTANDI;XOFIGO
$68392.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1194888610 >THOMAS GAJEWSKI </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			OTHER;ZELBORAF;PROVENGE;IMLYGIC;NIVOLUMAB
$67689.0	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992861140 >LOUISE SCLAFANI </A>	Optometrist	<span style=color:black>376 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			SYSTANE;OTHER;PATADAY;OPTI-FREE;LUMIGAN
$62987.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1508921339 >SHERWIN HO </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$62081.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1255494779 >MARK RATAIN </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			KADCYLA;SYNTHROID;VIEKIRA;HUMIRA;ANDROGEL
$59739.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1306997374 >MARIO ZARITZKY </A>	Pediatric Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$58148.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1427113646 >JOHN ELLIS </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			ANESTHESIA SUPRANE;ANESTHESIOLOGY
$57961.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1275698003 >RUSSELL BAER </A>	Dentist, Oral and Maxillofacial Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			ARESTIN
$55752.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1679635122 >JOHN KRESS </A>	Pulmonary Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			PRECEDEX;BREO;ANORO ELLIPTA;ADVAIR
$55692.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1669534111 >JOHN LOPEZ </A>	Cardiovascular Disease	<span style=color:black>1220 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			XARELTO;COMPLERA;INTELENCE;PREZISTA;INVOKANA
$54494.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1245389717 >VALERIE CALLENDER </A>	Dermatology	<span style=color:black>373 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	0	( peers 2.4)	XEOMIN;ACZONE;EPIDUO;DERMATOLOGICAL PRODUCTS;TOPICORT
$53308.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1205998754 >ROBERTO LANG </A>	Cardiovascular Disease	<span style=color:black>721 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			BRILINTA;PRADAXA;PRALUENT;XARELTO;ELIQUIS
$48081.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1366756140 >ATSUSHI SAKURABA </A>	Gastroenterology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			HUMIRA;TYSABRI
$46400.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1588727093 >WENDY STOCK </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			OTHER;BLINCYTO;ONCASPAR;ERWINAZE;VECTIBIX
$46115.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1194887646 >OLATOYOSI ODENIKE </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			JAKAFI;MARQIBO;ALPHANATE
$46085.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1184789919 >GREGORY BALES </A>	Urology	<span style=color:black>725 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	11.2	( peers 9.5)	BOTOX;VESICARE;MYRBETRIQ;AXIRON;CIALIS
$44759.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1831251388 >KATHLEEN MULLANE </A>	Infectious Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			DIFICID;OTHER;CRESEMBA;MYCAMINE;HARVONI
$44601.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1235129073 >JOSHUA MOSS </A>	Clinical Cardiac Electrophysiology	<span style=color:black>471 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			XARELTO;PRADAXA;VYTORIN;ZETIA;ELIQUIS
$42901.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1114089661 >RICHARD LARSON </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			TASIGNA;GLEEVEC;ICLUSIG;KYPROLIS;JAKAFI
$40235.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1548323066 >MARDI GOMBERG-MAITLAND </A>	Cardiovascular Disease	<span style=color:black>1808 </span>	<span style=color:red>High drug cost</span>	<span style=color:red>Brand-name prescriber</span>	<span style=color:green>Nothing unusual</span>			LETAIRIS;TYVASO;REMODULIN;ORENITRAM;OPSUMIT MACITENTAN
$40155.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952567125 >ZAID AZIZ </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			BRILINTA;XARELTO;SAMSCA;PRADAXA;EFFIENT
$39514.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1518911288 >DANIEL GRUENSTEIN </A>	Pediatric Cardiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			
$39112.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1518149830 >ABDO SAAD </A>	Student	<span style=color:black>643 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			HUMIRA;VIEKIRA;ANDROGEL;SYNTHROID;LUPRON
$35464.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1093989196 >JASON LUKE </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			IMLYGIC;ZELBORAF;COMETRIQ;MEKINIST;TAFINLAR
$35397.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1841353364 >TAMARA VOKES </A>	Endocrinology, Diabetes & Metabolism	<span style=color:black>496 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	0	( peers 2.9)	GATTEX;NATPARA;TARCEVA;FORTEO
$34203.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982614921 >ARLENE CHAPMAN </A>	Nephrology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			BOSULIF;PROAMATINE;OTHER;TOLVAPTAN;RENVELA
$32429.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1609902279 >ROBERT WIENCEK </A>	Thoracic Surgery (Cardiothoracic Vascular Surgery)	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			
$32336.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1558424077 >ANN ZMUDA </A>	Podiatrist	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			REGRANEX;SANTYL;FORTEO
$31602.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1033272547 >WALTER STADLER </A>	Hematology & Oncology	<span style=color:black>608 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			OTHER;XOFIGO;SUTENT;INLYTA;XTANDI
$30756.0	<A HREF=https://projects.propublica.org/vital-signs/doctor/1619032448 >VIVEK PRACHAND </A>	Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$29933.0	<A HREF=https://projects.propublica.org/vital-signs/doctor/1750432738 >BARRY ARNASON </A>	Neurology	<span style=color:black>2117 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			BETASERON;ALEMTUZUMAB;AUBAGIO;H.P. ACTHAR;GILENYA
$27030.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1669535183 >JAMES WALTER </A>	Emergency Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			VIBERZI
$26562.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1255305520 >NOEL FAJARDO </A>	Gastroenterology	<span style=color:black>996 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	0	( peers 2.8)	VIREAD;AMITIZA;DEXILANT;SUCRAID;XIFAXAN
$26293.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1770607871 >MATTHEW JOHNSON </A>	Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			EVICEL;PREVNAR  13;ZYVOX;EVARREST;HALAVEN
$26254.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1417098567 >FILIPPO CREMONINI </A>	Gastroenterology	<span style=color:black>328 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	0	( peers 2.8)	XIFAXAN;LINZESS;SUCRAID;NEXAVAR;HUMIRA
$25068.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1225193063 >CHRISTOPHER SKELLY </A>	Vascular Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$24871.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1114937091 >LOUIS PORTUGAL </A>		<span style=color:black>366 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			CHLRPRP FREP1.5 ML
$24362.0	<A HREF=https://projects.propublica.org/vital-signs/doctor/1851453302 >HEDY KINDLER </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			ADCETRIS;ABRAXANE;TARCEVA;OTHER;NEXAVAR
$23555.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1205883444 >JERRY KRISHNAN </A>	Pulmonary Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			SPIRIVA;PROLASTIN-C
$22644.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1275684243 >HIROYUKI ABE </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			
$22493.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1437214269 >JACQUELYNNE COREY </A>	Otolaryngology	<span style=color:black>841 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	0	( peers 7.3)	ORALAIR;OTHER;AEROSPAN;DYMISTA;RAGWITEK
$21825.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992867444 >MICHAEL BECKER </A>	Rheumatology	<span style=color:black>343 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>			OTHER;ULORIC;KRYSTEXXA;HUMIRA
$21686.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1306873211 >BLASE POLITE </A>	Medical Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			STIVARGA
$21362.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1346302890 >EUGENE CHANG </A>	Gastroenterology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			
$21179.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1366507196 >JOHN ALVERDY </A>	Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			ANTI-BACTERIAL;OTHER
$21098.3	<A HREF=https://projects.propublica.org/vital-signs/doctor/1407908825 >ANTHONY CHANG </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>			SOLIRIS;H.P. ACTHAR
